[-1.00527, -0.805266] ; [0.787168, 0.987168] ; [1.30903, 1.50903]
[-0.995593, -0.795593] ; [0.78688, 0.98688] ; [1.30835, 1.50835]
[-0.985744, -0.785744] ; [0.786586, 0.986586] ; [1.30764, 1.50764]
[-0.97653, -0.77653] ; [0.786312, 0.986312] ; [1.30698, 1.50698]
[-0.966925, -0.766925] ; [0.786025, 0.986025] ; [1.30628, 1.50628]
[-0.957451, -0.757451] ; [0.785742, 0.985742] ; [1.30557, 1.50557]
[-0.94788, -0.74788] ; [0.785456, 0.985456] ; [1.30485, 1.50485]
[-0.938325, -0.738325] ; [0.78517, 0.98517] ; [1.30413, 1.50413]
[-0.928839, -0.728839] ; [0.784886, 0.984886] ; [1.30341, 1.50341]
[-0.91936, -0.71936] ; [0.784601, 0.984601] ; [1.30268, 1.50268]
[-0.909597, -0.709597] ; [0.784309, 0.984309] ; [1.30193, 1.50193]
[-0.90046, -0.70046] ; [0.784033, 0.984033] ; [1.30121, 1.50121]
[-0.891011, -0.691011] ; [0.783748, 0.983748] ; [1.30047, 1.50047]
[-0.881307, -0.681307] ; [0.783454, 0.983454] ; [1.2997, 1.4997]
[-0.872206, -0.672206] ; [0.783178, 0.983178] ; [1.29897, 1.49897]
[-0.862861, -0.662861] ; [0.782894, 0.982894] ; [1.29822, 1.49822]
[-0.853469, -0.653469] ; [0.782607, 0.982607] ; [1.29746, 1.49746]
[-0.844202, -0.644202] ; [0.782323, 0.982323] ; [1.29671, 1.49671]
[-0.834972, -0.634972] ; [0.78204, 0.98204] ; [1.29595, 1.49595]
[-0.825687, -0.625687] ; [0.781754, 0.981754] ; [1.29519, 1.49519]
[-0.816471, -0.616471] ; [0.781469, 0.981469] ; [1.29442, 1.49442]
[-0.807245, -0.607245] ; [0.781182, 0.981182] ; [1.29365, 1.49365]
[-0.798068, -0.598068] ; [0.780895, 0.980895] ; [1.29288, 1.49288]
[-0.788916, -0.588916] ; [0.780607, 0.980607] ; [1.29211, 1.49211]
[-0.779834, -0.579834] ; [0.780321, 0.980321] ; [1.29134, 1.49134]
[-0.770814, -0.570814] ; [0.780034, 0.980034] ; [1.29056, 1.49056]
[-0.761907, -0.561907] ; [0.779748, 0.979748] ; [1.28979, 1.48979]
[-0.752917, -0.552917] ; [0.779459, 0.979459] ; [1.28901, 1.48901]
[-0.744, -0.544] ; [0.779169, 0.979169] ; [1.28823, 1.48823]
[-0.734969, -0.534969] ; [0.778875, 0.978875] ; [1.28744, 1.48744]
[-0.72637, -0.52637] ; [0.778591, 0.978591] ; [1.28668, 1.48668]
[-0.717494, -0.517494] ; [0.778297, 0.978297] ; [1.28589, 1.48589]
[-0.708622, -0.508622] ; [0.778001, 0.978001] ; [1.28509, 1.48509]
[-0.700043, -0.500043] ; [0.777713, 0.977713] ; [1.28432, 1.48432]
[-0.691396, -0.491396] ; [0.777419, 0.977419] ; [1.28354, 1.48354]
