[-0.924557, -0.904557] ; [0.877332, 0.897332] ; [1.40143, 1.42143]
[-0.924298, -0.904298] ; [0.8774, 0.8974] ; [1.40331, 1.42331]
[-0.923944, -0.903944] ; [0.877328, 0.897328] ; [1.40488, 1.42488]
[-0.923567, -0.903567] ; [0.877397, 0.897397] ; [1.40654, 1.42654]
[-0.922602, -0.902602] ; [0.877232, 0.897232] ; [1.4095, 1.4295]
[-0.922081, -0.902081] ; [0.877238, 0.897238] ; [1.41091, 1.43091]
[-0.9214, -0.9014] ; [0.877239, 0.897239] ; [1.41222, 1.43222]
[-0.920721, -0.900721] ; [0.877228, 0.897228] ; [1.4135, 1.4335]
[-0.920018, -0.900018] ; [0.877169, 0.897169] ; [1.41471, 1.43471]
[-0.918701, -0.898701] ; [0.876857, 0.896857] ; [1.41527, 1.43527]
[-0.918391, -0.898391] ; [0.877211, 0.897211] ; [1.41691, 1.43691]
[-0.917528, -0.897528] ; [0.877165, 0.897165] ; [1.41797, 1.43797]
[-0.916566, -0.896566] ; [0.877201, 0.897201] ; [1.41895, 1.43895]
[-0.915534, -0.895534] ; [0.877182, 0.897182] ; [1.41985, 1.43985]
[-0.914539, -0.894539] ; [0.877212, 0.897212] ; [1.42072, 1.44072]
[-0.913444, -0.893444] ; [0.877301, 0.897301] ; [1.42158, 1.44158]
[-0.91227, -0.89227] ; [0.877213, 0.897213] ; [1.4223, 1.4423]
[-0.910589, -0.890589] ; [0.877057, 0.897057] ; [1.42252, 1.44252]
[-0.909926, -0.889926] ; [0.877372, 0.897372] ; [1.42378, 1.44378]
[-0.908094, -0.888094] ; [0.877213, 0.897213] ; [1.42386, 1.44386]
[-0.907361, -0.887361] ; [0.877552, 0.897552] ; [1.42504, 1.44504]
[-0.905957, -0.885957] ; [0.877719, 0.897719] ; [1.42554, 1.44554]
[-0.904466, -0.884466] ; [0.877684, 0.897684] ; [1.42602, 1.44602]
[-0.902554, -0.882554] ; [0.877617, 0.897617] ; [1.42588, 1.44588]
[-0.899479, -0.879479] ; [0.8778, 0.8978] ; [1.42684, 1.44684]
[-0.897857, -0.877857] ; [0.877942, 0.897942] ; [1.42713, 1.44713]
[-0.896242, -0.876242] ; [0.877991, 0.897991] ; [1.42753, 1.44753]
[-0.894563, -0.874563] ; [0.8782, 0.8982] ; [1.4278, 1.4478]
[-0.892859, -0.872859] ; [0.878331, 0.898331] ; [1.42804, 1.44804]
[-0.891679, -0.871679] ; [0.878821, 0.898821] ; [1.42889, 1.44889]
[-0.889778, -0.869778] ; [0.878926, 0.898926] ; [1.42905, 1.44905]
[-0.887484, -0.867484] ; [0.878839, 0.898839] ; [1.42877, 1.44877]
[-0.885505, -0.865505] ; [0.878984, 0.898984] ; [1.42876, 1.44876]
[-0.884117, -0.864117] ; [0.87938, 0.89938] ; [1.4295, 1.4495]
[-0.881582, -0.861582] ; [0.879307, 0.899307] ; [1.42897, 1.44897]
[-0.879121, -0.859121] ; [0.879208, 0.899208] ; [1.42848, 1.44848]
[-0.877045, -0.857045] ; [0.879408, 0.899408] ; [1.42852, 1.44852]
[-0.875385, -0.855385] ; [0.879954, 0.899954] ; [1.42913, 1.44913]
[-0.873837, -0.853837] ; [0.880395, 0.900395] ; [1.42976, 1.44976]
[-0.871631, -0.851631] ; [0.880577, 0.900577] ; [1.4297, 1.4497]
[-0.869025, -0.849025] ; [0.880551, 0.900551] ; [1.42918, 1.44918]
[-0.866247, -0.846247] ; [0.880457, 0.900457] ; [1.42848, 1.44848]
[-0.86395, -0.84395] ; [0.880742, 0.900742] ; [1.42839, 1.44839]
[-0.861475, -0.841475] ; [0.880899, 0.900899] ; [1.42839, 1.44839]
[-0.8563, -0.8363] ; [0.881191, 0.901191] ; [1.42752, 1.44752]
[-0.854428, -0.834428] ; [0.881726, 0.901726] ; [1.42797, 1.44797]
[-0.851816, -0.831816] ; [0.881893, 0.901893] ; [1.42785, 1.44785]
[-0.849251, -0.829251] ; [0.88205, 0.90205] ; [1.42768, 1.44768]
[-0.846391, -0.826391] ; [0.882152, 0.902152] ; [1.42694, 1.44694]
[-0.844915, -0.824915] ; [0.883102, 0.903102] ; [1.42803, 1.44803]
[-0.841616, -0.821616] ; [0.882826, 0.902826] ; [1.42718, 1.44718]
[-0.839002, -0.819002] ; [0.883109, 0.903109] ; [1.42697, 1.44697]
[-0.835958, -0.815958] ; [0.883168, 0.903168] ; [1.42619, 1.44619]
[-0.833273, -0.813273] ; [0.883499, 0.903499] ; [1.42598, 1.44598]
[-0.830562, -0.810562] ; [0.883778, 0.903778] ; [1.42576, 1.44576]
[-0.828163, -0.808163] ; [0.884248, 0.904248] ; [1.42614, 1.44614]
[-0.825042, -0.805042] ; [0.884407, 0.904407] ; [1.42533, 1.44533]
[-0.82219, -0.80219] ; [0.884661, 0.904661] ; [1.42514, 1.44514]
[-0.819321, -0.799321] ; [0.884932, 0.904932] ; [1.4248, 1.4448]
[-0.8165, -0.7965] ; [0.885261, 0.905261] ; [1.42457, 1.44457]
[-0.814076, -0.794076] ; [0.885775, 0.905775] ; [1.42477, 1.44477]
